,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,Implied volatility,currentDate,Underlaying asset price,Expiration Date
38,17-Mar-17,35.0,TWOU,Put,1.5,-0.2,1.3,1.55,50.0,46.0,-0.37773,0.08127000000000001,-0.01014,-0.03542,0.037860000000000005,0.59204,2/17/2017,35.93,0.076659822
39,17-Mar-17,35.0,TWOU,Put,1.5,-0.2,1.3,1.55,50.0,46.0,-0.53523,0.12403,-0.01167,-0.024980000000000002,0.03746,0.59204,2/17/2017,35.93,0.076659822
40,17-Mar-17,35.0,TWOU,Put,1.5,-0.2,1.3,1.55,50.0,46.0,-0.53523,0.12403,-0.01167,-0.024980000000000002,0.03746,0.59204,2/17/2017,35.93,0.076659822
41,21-Apr-17,35.0,TWOU,Call,2.7,-0.3,2.8,3.2,200.0,1178.0,0.6292,0.07229,0.034230000000000003,-0.02153,0.056260000000000004,0.39441,2/17/2017,35.93,0.1724846
42,21-Apr-17,35.0,TWOU,Call,2.7,-0.3,2.8,3.2,200.0,1178.0,0.6292,0.07229,0.034230000000000003,-0.02153,0.056260000000000004,0.39441,2/17/2017,35.93,0.1724846
43,21-Apr-17,35.0,TWOU,Call,2.7,-0.3,2.8,3.2,200.0,1178.0,0.53128,0.05488,0.02658,-0.030719999999999997,0.05561,0.39441,2/17/2017,35.93,0.1724846
44,21-Apr-17,35.0,TWOU,Call,2.7,-0.3,2.8,3.2,200.0,1178.0,0.53128,0.05488,0.02658,-0.030719999999999997,0.05561,0.39441,2/17/2017,35.93,0.1724846
45,15-Sep-17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1.0,112.0,0.7508699999999999,0.15047,0.04883,-0.00316,0.03436,0.24548000000000003,2/17/2017,13.4,0.574948665
46,15-Sep-17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1.0,112.0,0.7508699999999999,0.15047,0.04883,-0.00316,0.03436,0.24548000000000003,2/17/2017,13.4,0.574948665
47,15-Sep-17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1.0,112.0,0.72724,0.13717000000000001,0.046360000000000005,-0.00346,0.035039999999999995,0.24548000000000003,2/17/2017,13.4,0.574948665
48,15-Sep-17,12.5,CAFD,Call,1.6,0.07,1.4,1.75,1.0,112.0,0.72724,0.13717000000000001,0.046360000000000005,-0.00346,0.035039999999999995,0.24548000000000003,2/17/2017,13.4,0.574948665
