,Unnamed:_0,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open_Int,Delta,Gamma,Rho,Theta,Vega,Implied_volatility,currentDate,Underlaying_asset_price,Expiration_Date,compute_iv
584,5200,3-Mar-17,113.0,EXPE,Put,0.21,-1.13,0.15,0.35,2.0,67.0,-0.07542,0.02957,-0.00333,-0.02895,0.03193,0.21611,2/17/2017,119.410004,0.038329911,0.21633790739954692
585,5243,19-Jan-18,120.0,EXPE,Call,12.8,-0.4,12.7,13.1,54.0,857.0,0.6188,0.01687,0.5762,-0.02598,0.4255600000000001,0.24997,2/17/2017,119.410004,0.919917864,0.2532276401936484
586,5285,24-Mar-17,69.5,ESRX,Call,2.07,0.25,2.06,2.19,28.0,36.0,0.56729,0.10368,0.03618,-0.03247,0.08283,0.20022,2/17/2017,69.970001,0.095824778,0.19940096238742727
587,5300,17-Mar-17,65.0,ESRX,Put,0.45,-0.2,0.45,0.46,614.0,5689.0,-0.13855,0.04621,-0.0069700000000000005,-0.02025,0.04559,0.27954,2/17/2017,69.970001,0.076659822,0.2796405608594019
588,5326,19-Jan-18,70.0,ESRX,Call,7.45,0.45,7.3,7.65,22.0,637.0,0.61647,0.02624,0.32912,-0.01609,0.24878000000000006,0.24243,2/17/2017,69.970001,0.919917864,0.2454902661240907
589,5327,19-Jan-18,72.5,ESRX,Call,6.2,0.25,6.15,6.35,12.0,248.0,0.55592,0.02601,0.29922,-0.01559,0.26133,0.24571,2/17/2017,69.970001,0.919917864,0.24140981261013084
590,5361,24-Feb-17,126.0,FB,Call,7.65,-0.12,7.45,7.65,21.0,479.0,0.97988,0.01229,0.02308,-0.03511,0.01863,0.22139,2/17/2017,133.529999,0.019164956,0.22564754692906724
591,5369,24-Feb-17,134.0,FB,Call,0.74,-0.32,0.73,0.75,8428.0,4302.0,0.42092,0.17013,0.01043,-0.08476,0.07202,0.12855,2/17/2017,133.529999,0.019164956,0.1250043000140939
592,5373,24-Feb-17,138.0,FB,Call,0.06,-0.07,0.05,0.07,559.0,2283.0,0.04877,0.03704,0.00122,-0.02276,0.0222,0.14809,2/17/2017,133.529999,0.019164956,0.1442199005789094
593,5374,24-Feb-17,139.0,FB,Call,0.04,-0.05,0.03,0.04,692.0,1189.0,0.020030000000000003,0.0,0.0005,-0.01161,0.01321,0.15341,2/17/2017,133.529999,0.019164956,0.15692823201802975
594,5376,24-Feb-17,142.0,FB,Call,0.03,-0.01,0.01,0.03,53.0,770.0,0.01426,0.0,0.00036,-0.01158,0.00559,0.21369,2/17/2017,133.529999,0.019164956,0.21430546824751262
595,5377,24-Feb-17,121.0,FB,Put,0.03,-0.01,0.01,0.03,106.0,991.0,-0.01154,0.00496,-0.00029,-0.014469999999999997,0.00462,0.33271,2/17/2017,133.529999,0.019164956,0.3285958883663445
596,5382,24-Feb-17,126.0,FB,Put,0.04,-0.06,0.03,0.07,41.0,942.0,-0.0182,0.01159,-0.0004,-0.01462,0.01861,0.21969,2/17/2017,133.529999,0.019164956,0.21916606224322685
597,5383,24-Feb-17,127.0,FB,Put,0.05,-0.02,0.03,0.05,399.0,717.0,-0.0271,0.017269999999999997,-0.00063,-0.01766,0.01863,0.19838,2/17/2017,133.529999,0.019164956,0.20183767318074597
598,5384,24-Feb-17,128.0,FB,Put,0.07,-0.02,0.05,0.07,386.0,2089.0,-0.0452,0.02823,-0.00108,-0.02492,0.01874,0.18484,2/17/2017,133.529999,0.019164956,0.1876418017007988
599,5388,24-Feb-17,132.0,FB,Put,0.44,-0.04,0.41,0.45,1364.0,2282.0,-0.27503,0.13706,-0.0058,-0.06723,0.06886,0.14831,2/17/2017,133.529999,0.019164956,0.1437924805686075
600,5389,24-Feb-17,133.0,FB,Put,0.83,0.05,0.73,0.78,2539.0,2445.0,-0.4189600000000001,0.17438,-0.00906,-0.0702,0.0703,0.15525999999999998,2/17/2017,133.529999,0.019164956,0.15043757489704154
601,5390,24-Feb-17,134.0,FB,Put,1.28,0.05,1.21,1.28,1197.0,1540.0,-0.58753,0.17323,-0.0116,-0.06665,0.07197,0.14653,2/17/2017,133.529999,0.019164956,0.14516040219552784
602,5403,3-Mar-17,129.0,FB,Call,4.84,-0.22,4.8,4.95,8.0,365.0,0.8995299999999999,0.04761,0.04371,-0.04507,0.06135,0.13773,2/17/2017,133.529999,0.038329911,0.13965247102715483
603,5413,3-Mar-17,136.0,FB,Call,0.63,-0.2,0.64,0.68,751.0,1002.0,0.29191,0.08426,0.01456,-0.06892999999999999,0.10523,0.14608,2/17/2017,133.529999,0.038329911,0.14391505467450635
604,5414,3-Mar-17,137.0,FB,Call,0.4,-0.17,0.42,0.45,428.0,2161.0,0.18984,0.07385,0.00953,-0.04464,0.0724,0.14235,2/17/2017,133.529999,0.038329911,0.1433354443919543
605,5427,10-Mar-17,129.0,FB,Call,5.25,0.16,5.1,5.25,52.0,85.0,0.8220200000000001,0.05053,0.05969,-0.05403,0.0765,0.15942,2/17/2017,133.529999,0.05749486700000001,0.16399808571804148
606,5428,10-Mar-17,130.0,FB,Call,4.2,-0.06,4.3,4.45,8.0,446.0,0.78818,0.06206,0.05768,-0.056060000000000006,0.07729,0.13517,2/17/2017,133.529999,0.05749486700000001,0.13533770865544267
607,5432,10-Mar-17,134.0,FB,Call,1.77,-0.24,1.84,1.89,440.0,416.0,0.49169,0.07417,0.0364,-0.07235,0.12471,0.14627,2/17/2017,133.529999,0.05749486700000001,0.1476153717819823
608,5438,10-Mar-17,142.0,FB,Call,0.18,-0.05,0.13,0.17,8.0,190.0,0.07084,0.02509,0.00536,-0.02107,0.04036,0.17095,2/17/2017,133.529999,0.05749486700000001,0.17059420834517514
609,5441,10-Mar-17,145.0,FB,Call,0.09,-0.08,0.06,0.11,5.0,396.0,0.02859,0.01105,0.00217,-0.01104,0.041260000000000005,0.18798,2/17/2017,133.529999,0.05749486700000001,0.1873361393197046
610,5449,24-Mar-17,127.0,FB,Call,7.3,-0.1,7.35,7.5,21.0,21.0,0.8411799999999999,0.03394,0.09988,-0.04485,0.09618,0.15235,2/17/2017,133.529999,0.095824778,0.15285964601807608
611,5455,24-Mar-17,134.0,FB,Call,2.59,-0.18,2.66,2.71,79.0,824.0,0.5101600000000001,0.06566,0.06287000000000001,-0.05264,0.16092,0.15692,2/17/2017,133.529999,0.095824778,0.1596017291994984
612,5459,24-Mar-17,138.0,FB,Call,1.19,-0.08,1.15,1.19,118.0,1102.0,0.2773,0.05409,0.03458,-0.04257,0.11498,0.16566,2/17/2017,133.529999,0.095824778,0.16501327866002832
613,5460,24-Mar-17,139.0,FB,Call,0.92,-0.08,0.91,0.95,261.0,562.0,0.23113000000000006,0.04846,0.02889,-0.03656,0.11732,0.16338,2/17/2017,133.529999,0.095824778,0.16316280074706724
614,5461,24-Mar-17,140.0,FB,Call,0.7,-0.06,0.71,0.75,54.0,577.0,0.1889,0.04228,0.02366,-0.03177,0.11935,0.15741,2/17/2017,133.529999,0.095824778,0.16155615023421688
615,5463,24-Mar-17,142.0,FB,Call,0.46,-0.01,0.43,0.46,7.0,178.0,0.12524000000000002,0.03112,0.01573,-0.02582,0.12189,0.16379000000000002,2/17/2017,133.529999,0.095824778,0.16748014229311245
616,5469,3-Mar-17,124.0,FB,Put,0.1,-0.04,0.08,0.11,55.0,503.0,-0.05686,0.01798,-0.00281,-0.02892,0.02625,0.22125,2/17/2017,133.529999,0.038329911,0.22421504061218045
617,5475,3-Mar-17,131.0,FB,Put,0.74,-0.05,0.69,0.73,377.0,1398.0,-0.25689,0.08242999999999999,-0.01092,-0.051870000000000006,0.09668,0.1745,2/17/2017,133.529999,0.038329911,0.1710648423090581
618,5476,3-Mar-17,132.0,FB,Put,1.05,0.05,0.97,1.02,189.0,537.0,-0.36167,0.08408,-0.01611,-0.06401,0.09879,0.17067000000000002,2/17/2017,133.529999,0.038329911,0.1703010973998405
619,5477,3-Mar-17,133.0,FB,Put,1.4,-0.05,1.35,1.41,309.0,427.0,-0.43694,0.11213,-0.0188,-0.05517,0.10008,0.16716,2/17/2017,133.529999,0.038329911,0.16533917501061515
620,5478,3-Mar-17,134.0,FB,Put,1.95,0.05,1.82,1.89,232.0,510.0,-0.54404,0.11235,-0.02149,-0.05303,0.10205,0.16716,2/17/2017,133.529999,0.038329911,0.17120186227146997
621,5494,10-Mar-17,135.0,FB,Put,3.0,0.04,2.81,2.89,37.0,154.0,-0.5975600000000001,0.07816000000000001,-0.03528,-0.04574,0.12617,0.18544,2/17/2017,133.529999,0.05749486700000001,0.18152468882214723
622,5504,24-Mar-17,122.0,FB,Put,0.31,-0.03,0.28,0.32,8.0,179.0,-0.06967999999999999,0.01577,-0.00863,-0.01876,0.0476,0.21872,2/17/2017,133.529999,0.095824778,0.2148511956409958
623,5505,24-Mar-17,123.0,FB,Put,0.36,-0.08,0.34,0.39,14.0,406.0,-0.08401,0.018580000000000003,-0.00945,-0.02087,0.09364,0.21047,2/17/2017,133.529999,0.095824778,0.20814453269456482
624,5506,24-Mar-17,124.0,FB,Put,0.46,-0.02,0.42,0.46,18.0,183.0,-0.09887,0.02162,-0.01138,-0.021730000000000003,0.09407,0.20341,2/17/2017,133.529999,0.095824778,0.2068208998188203
