,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,Implied volatility,currentDate,Underlaying asset price,Expiration Date
2462,17-Nov-17,135.0,AAPL,Put,10.4,-0.2,10.25,10.35,1.0,636.0,-0.41362,0.01598,-0.31125,-0.016640000000000002,0.44028,0.27962,2/17/2017,135.720001,0.747433265
2463,17-Nov-17,140.0,AAPL,Put,13.1,-0.1,12.9,13.05,52.0,325.0,-0.47676,0.0141,-0.39043,-0.01888,0.45468,0.28065,2/17/2017,135.720001,0.747433265
2464,17-Nov-17,145.0,AAPL,Put,16.1,-0.15,15.9,16.1,9.0,381.0,-0.55993,0.0165,-0.41567,-0.01458,0.46944,0.24974,2/17/2017,135.720001,0.747433265
2465,19-Jan-18,125.0,AAPL,Call,17.6,0.2,17.6,17.9,258.0,43805.0,0.8303,0.01363,0.8739100000000001,-0.02316,0.3817,0.16673,2/17/2017,135.720001,0.919917864
2466,19-Jan-18,130.0,AAPL,Call,14.56,0.11,14.45,14.75,224.0,60147.0,0.76503,0.01807,0.83321,-0.02293,0.41014,0.17752,2/17/2017,135.720001,0.919917864
2467,19-Jan-18,135.0,AAPL,Call,11.94,0.04,11.8,12.05,327.0,38499.0,0.647,0.01743,0.7004600000000001,-0.0267,0.47109,0.15533,2/17/2017,135.720001,0.919917864
2468,19-Jan-18,140.0,AAPL,Call,9.59,0.09,9.45,9.7,548.0,73588.0,0.56417,0.01725,0.6160899999999999,-0.02605,0.5077,0.16408,2/17/2017,135.720001,0.919917864
2469,19-Jan-18,145.0,AAPL,Call,7.5,0.05,7.45,7.65,360.0,15838.0,0.47857,0.01798,0.5335,-0.024030000000000003,0.54684,0.15564,2/17/2017,135.720001,0.919917864
2470,19-Jan-18,125.0,AAPL,Put,7.25,-0.18,7.25,7.35,206.0,12067.0,-0.27754,0.01131,-0.31424,-0.01278,0.44036,0.28021,2/17/2017,135.720001,0.919917864
2471,19-Jan-18,130.0,AAPL,Put,9.25,-0.2,9.15,9.3,161.0,14391.0,-0.33888,0.013030000000000002,-0.37215,-0.013669999999999998,0.46361,0.27685,2/17/2017,135.720001,0.919917864
2472,19-Jan-18,135.0,AAPL,Put,11.6,-0.15,11.45,11.6,562.0,11729.0,-0.4082,0.01437,-0.38259,-0.01476,0.48193,0.24989,2/17/2017,135.720001,0.919917864
2473,19-Jan-18,140.0,AAPL,Put,14.25,-0.05,14.0,14.2,81.0,12293.0,-0.46555,0.01308,-0.4605,-0.01626,0.5023,0.27984000000000003,2/17/2017,135.720001,0.919917864
2474,19-Jan-18,145.0,AAPL,Put,17.18,-0.07,16.95,17.15,22.0,1847.0,-0.52262,0.01321,-0.51867,-0.01534,0.51562,0.28086,2/17/2017,135.720001,0.919917864
2475,15-Jun-18,130.0,AAPL,Call,17.2,0.2,17.05,17.45,2.0,357.0,0.7683300000000001,0.01471,1.16395,-0.02121,0.47872,0.16003,2/17/2017,135.720001,1.32238193
2476,15-Jun-18,140.0,AAPL,Call,12.35,0.15,12.25,12.5,13.0,724.0,0.6038100000000001,0.0153,0.92761,-0.02268,0.5937,0.15292,2/17/2017,135.720001,1.32238193
2477,15-Jun-18,145.0,AAPL,Call,10.2,0.05,10.15,10.4,1.0,620.0,0.52795,0.01651,0.8315299999999999,-0.02105,0.64654,0.15157,2/17/2017,135.720001,1.32238193
2478,15-Jun-18,130.0,AAPL,Put,12.15,-0.12,11.95,12.2,51.0,127.0,-0.33847,0.0106,-0.5070399999999999,-0.01128,0.54861,0.26442,2/17/2017,135.720001,1.32238193
2479,15-Jun-18,135.0,AAPL,Put,14.52,-0.03,14.25,14.5,7.0,171.0,-0.39565,0.01116,-0.55601,-0.01279,0.57155,0.25589,2/17/2017,135.720001,1.32238193
2480,15-Jun-18,140.0,AAPL,Put,17.15,-0.05,16.8,17.2,5.0,676.0,-0.43949,0.01048,-0.62915,-0.01369,0.59372,0.29491,2/17/2017,135.720001,1.32238193
2481,18-Jan-19,125.0,AAPL,Call,23.31,0.37,22.4,23.7,26.0,5461.0,0.87841,0.00993,1.8432,-0.01838,0.42789,0.10181,2/17/2017,135.720001,1.916495551
2482,18-Jan-19,130.0,AAPL,Call,20.59,0.14,20.4,21.15,44.0,5828.0,0.79471,0.01225,1.6896099999999998,-0.01919,0.5338,0.12392,2/17/2017,135.720001,1.916495551
2483,18-Jan-19,135.0,AAPL,Call,18.08,0.16,17.55,18.5,38.0,4190.0,0.7087,0.01224,1.49823,-0.020880000000000003,0.62716,0.12691,2/17/2017,135.720001,1.916495551
2484,18-Jan-19,125.0,AAPL,Put,13.39,0.27,12.75,13.3,13.0,750.0,-0.29695,0.00692,-0.71988,-0.01035,0.62685,0.3111,2/17/2017,135.720001,1.916495551
2485,18-Jan-19,130.0,AAPL,Put,15.55,0.17,15.0,15.4,447.0,1095.0,-0.33502,0.00837,-0.71621,-0.0096,0.6484,0.28053,2/17/2017,135.720001,1.916495551
2486,18-Jan-19,135.0,AAPL,Put,17.86,0.04,17.3,18.2,23.0,1061.0,-0.37834,0.0086,-0.78725,-0.0109,0.6761699999999999,0.29386,2/17/2017,135.720001,1.916495551
2487,18-Jan-19,140.0,AAPL,Put,20.37,-0.13,19.8,20.6,2.0,957.0,-0.41716,0.00901,-0.88431,-0.01016,0.69535,0.30947,2/17/2017,135.720001,1.916495551
