Initial name,University,GPA,Loan rate,Enrollment,Endowment,Graduation rate,SAT,Accept ratio,Tuition,Public/Private,Money_used
Auburn ,Auburn University,3.9,0.881522166,22658,644308.5,0.47,1218,0.81,10968,1,2
SC,University of South Carolina,3.85,0.987315011,25556,640327.5,0.54,1275,0.68,12262,1,2
Fordham,Fordham University,3.59,0.88200313,9258,640201.5,0.74,1273,0.45,50601,0,2
Clemson,Clemson University,4,0.909807559,18599,634952.5,0.59,1275,0.51,14712,1,2
DePauw,DePauw University,3.8,0.935042735,2225,629177.5,0.78,1208,0.78,47838,0,0
ASU,Arizona State University--Tempe,3.6,0.82113393,42477,627889,0.49,1143,0.83,10792,1,2
Furman,Furman University,3.64,0.919175911,2797,620564,0.78,1310,0.68,48348,0,0
DU,University of Denver--Colorado Seminary,3.7,0.894035533,5754,620064.5,0.66,1249,0.53,48669,0,2
Buffalo,University at Buffalo,3.6,0.860277886,20411,610128.5,0.58,1173,0.59,9770,1,2
Laverne,University of La Verne,3.5,0.844964029,2809,605762.5,0.48,1034,0.48,41450,0,0
Olemiss,University of Mississippi,3.6,0.861093144,19213,604633,0.37,1118,0.78,8290,1,1
FSU,Florida State University,3.85,0.754757301,32929,594902,0.61,1215,0.58,6507,1,2
American,American University,3.7,0.948698316,7901,588627.5,0.76,1252,0.26,46615,0,2
Villanova ,Villanova University,3.86,0.964966512,6999,552447.5,0.86,1326,0.44,51434,0,2
Marquette ,Marquette University,3.57,0.911838791,8238,550832,0.6,1219,0.74,39900,0,2
Trinity,Trinity College,3.7,0.865758755,2259,543220.5,0.8,1325,0.34,54770,0,1
UCSD,University of California--San Diego,4,0.754217901,28127,542225.5,0.59,1344,0.36,16183,1,2
LUC,Loyola University Chicago,3.7,0.914667897,11129,539013,0.65,1195,0.73,42828,0,2
WVU,West Virginia University,3.5,0.88402379,22350,522491.5,0.32,1073,0.76,8376,1,1
Reed,Reed College,3.9,0.928961749,1427,520856,0.86,1383,0.35,52150,0,0
UCI,University of California--Irvine,4,0.722222222,27331,505537.5,0.71,1175,0.41,15516,1,2
Oregonstate,Oregon State University,3.7,0.869253528,25327,498957.5,0.33,1112,0.77,10797,1,1
Whitman ,Whitman College,3.7,0.92879257,1493,496224,0.83,1314,0.51,49780,0,2
Ohio,Ohio University,3.5,0.876355594,23788,494383,0.46,1108,0.75,11896,1,1
Udayton,University of Dayton,3.7,0.958478851,8330,486764.5,0.58,1187,0.6,41750,0,2
Haverford,Haverford College,4,0.655172414,1268,483394,0.86,1433,0.21,52754,0,2
K-state,Kansas State University,3.5,0.893984608,19472,482276.5,0.31,1160,0.94,9874,1,2
Sandiego,University of San Diego,3.9,0.914923292,5711,459889.5,0.66,1236,0.51,47708,0,2
Miamioh,Miami University--Oxford,3.63,0.889264582,16981,453537.5,0.66,1259,0.8,14578,1,2
WPI,Worcester Polytechnic Institute,3.8,0.986745214,4432,451093.5,0.8,1380,0.48,48628,0,2
Stolaf,St. Olaf College,3.6,0.95361991,3040,447320.5,0.85,1282,0.45,46000,0,1
Msstate,Mississippi State University,3.4,0.854626912,18090,446795.5,0.32,1140,0.71,8138,1,1
Stthomas,University of St. Thomas,3.6,0.952882483,6111,442846.5,0.62,1202,0.83,41133,0,2
Temple,Temple University,3.6,0.93965017,29275,440208.5,0.44,1195,0.52,16274,1,2
Wyoming,University of Wyoming,3.5,0.818088033,9788,433777.5,0.27,1122,0.95,5217,1,1
VMI,Virginia Military Institute,3.6,0.952554745,1713,433440.5,0.64,1139,0.51,18214,1,0
DePaul,DePaul University,3.6,0.910606542,15407,429124.5,0.59,1185,0.7,39010,0,2
Hofstra ,Hofstra University,3.6,0.929640719,6899,414802,0.53,1210,0.62,43960,0,2
Union,Union College,3.4,0.937625755,2203,410756,0.81,970,0.37,53490,0,2
USF,University of South Florida,3.9,0.732174385,31461,406369.5,0.44,1167,0.47,6410,1,2
Wheaton,Wheaton College,3.7,0.92972973,2456,398823,0.82,1314,0.68,35190,0,1
UNM,University of New Mexico,3.3,0.532801418,20215,398455,0.23,1040,0.47,7150,1,2
Dickinson,Dickinson College,3.78,0.966183575,2420,398049.5,0.81,1360,0.48,52930,0,2
Earlham,Earlham College,3.7,0.92238806,1031,394826,0.65,1315,0.58,45750,0,0
Clark,Clark University,3.7,0.953692115,2289,388410,0.71,1335,0.55,44400,0,2
Occidental,Occidental College,3.6,0.918544194,2062,381923.5,0.76,1304,0.46,52838,0,2
Uconn,University of Connecticut,3.67,0.874763288,19324,380160,0.7,1233,0.49,14880,1,2
Pacific,University of the Pacific,3.5,0.912317328,3483,379057.5,0.5,1152,0.66,46346,0,2
Quinnipiac,Quinnipiac University,3.4,0.976190476,7099,377919.5,0.69,1095,0.76,46780,0,0
Sewanee,University of the South,3.7,0.882926829,1731,367797.5,0.79,1295,0.44,45120,0,2
Spelman,Spelman College,3.5,0.920197044,2125,354886.5,0.71,1015,0.53,28181,0,2
Wasbash,Wabash College,3.7,0.960212202,843,341020,0.64,1145,0.63,42250,0,2
WMU,Western Michigan University,3.3,0.914032698,18313,337755,0.22,1030,0.82,11943,1,2
Skidmore,Skidmore College,3.68,0.925233645,2680,335776,0.85,1239,0.29,52446,0,2
Newschool,The New School,3.3,0.909277294,7014,334584,0.53,1200,0.6,47330,0,2
UCDavis,University of California--Davis,4,0.747367229,29546,330564.5,0.55,1226,0.42,14382,1,2
Rhodes ,Rhodes College,3.9,0.92519685,1999,329070.5,0.77,1306,0.54,46504,0,2
Fandm,Franklin and Marshall College,3.81,0.944816054,2255,320093,0.83,1375,0.36,54380,0,2
USU,Utah State University,3.46,0.669511902,24838,319987.5,0.23,1084,0.9,7174,1,2
PugetSound,University of Puget Sound,3.6,0.961176471,2508,316018.5,0.7,1290,0.79,48090,0,2
Catholic,The Catholic University of America,3.33,0.955819881,3241,315306.5,0.62,1195,0.8,44060,0,2
Fairfield,Fairfield University,3.5,0.956451613,4032,313656.5,0.78,1270,0.61,47165,0,0
USF,University of San Francisco,3.4,0.922339406,6745,307343.5,0.62,1172,0.71,46250,0,2
UNR,University of Nevada--Reno,3.6,0.767055729,18191,304642.5,0.23,1084,0.83,7599,1,2
Wayne,Wayne State University,3.4,0.811167652,17280,303894.5,0.13,1070,0.68,13278,1,2
Scripps ,Scripps College,4,0.912280702,1039,300516,0.8,1362,0.3,52966,0,2
UAA,University of Alaska,3.3,0.663585003,7239,297936.5,0.15,1058,0.73,8144,1,2
Barnard ,Barnard College,3.8,0.876122083,2588,291639.5,0.83,1357,0.17,52662,0,2
Colostate,Colorado State University,3.6,0.876653136,25177,283851.5,0.42,1145,0.85,11632,1,2
Emerson,Emerson College,3.7,0.974928367,3790,277671,0.77,1211,0.48,42908,0,2
Ithaca ,Ithaca College,3.59,0.964579901,6221,277671,0.66,1265,0.7,42884,0,1
Bentley ,Bentley University,3.66,0.963917526,4222,249287,0.83,1244,0.46,48000,0,0
SJU,St. Joseph's University,3.6,0.969420601,5377,209043,0.72,1210,0.78,43880,0,0
Loyola,Loyola University Maryland,3.4,0.966492926,4104,199530,0.76,1270,0.66,47725,0,0
Providence,Providence College,3.4,0.971287941,4270,198600,0.81,1235,0.55,48760,0,0
Simmons,Simmons College,3.4,0.952380952,1801,185790.5,0.68,1163,0.64,38590,0,0
Gallaudet,Gallaudet University,3.2,0.660674157,1121,177013,0.2,883,0.66,16558,0,1
Scranton,University of Scranton,3.5,0.969278997,3867,167536.5,0.72,1134,0.75,43310,0,2
Bryant ,Bryant University,3.5,0.96969697,3462,164350.5,0.73,1230,0.69,42109,0,0
Lemoyne,Le Moyne College,3.5,0.95059151,2897,159158.5,0.58,1073,0.66,33905,0,2
Oneonta,SUNY College--Oneonta,3.6,0.937354086,5730,155900,0.58,1087,0.53,7936,1,0
Baruch,CUNY--Baruch College,3.3,0.226541096,15210,147900,0.38,1230,0.31,7551,1,2
Sacredheart,Sacred Heart University,3.5,0.961982059,5428,141168.5,0.54,1180,0.57,39820,0,2
Canisius,Canisius College,3.6,0.93122172,2595,109696.5,0.64,1078,0.78,36454,0,2
Alfred,Alfred University,3.3,0.96895075,1815,106906,0.43,1057,0.63,32264,0,2
Hunter,CUNY--Hunter College,3.3,0.225795811,16723,105700,0.24,1165,0.38,6780,1,0
NYIT,New York Institute of Technology,3.4,0.818360656,3575,103400,0.23,1074,0.73,35870,0,1
Assumption,Assumption College,3.5,0.975378788,2407,97500.5,0.72,1180,0.78,36260,0,2
Niagara,Niagara University,3.4,0.964731815,3136,91240,0.6,1037,0.83,31950,0,2
Lasalle,La Salle University,3.3,0.914915428,3652,84808,0.57,990,0.77,29500,0,0
RWU,Roger Williams University,3.3,0.976269316,4902,82768.5,0.55,1200,0.79,33336,0,1
Hood,Hood College,3.5,0.936893204,1174,82285.5,0.5,1150,0.71,37960,0,2
Monmouth,Monmouth University,3.3,0.946256316,6371,78549,0.55,1037,0.77,36733,0,1
Wagner,Wagner College,3.6,0.951122853,2290,78396,0.64,1210,0.7,45380,0,1
Manhattan,Manhattan College,3.4,0.90513834,3637,77149.5,0.57,1097,0.71,40345,0,2
Towson,Towson University,3.6,0.87145452,19198,68700,0.46,1081,0.74,9694,1,1
Endicott,Endicott College,3.3,0.929824561,3290,65859,0.76,1160,0.79,32154,0,0
Arcadia,Arcadia University,3.6,0.955522609,2473,64835.5,0.58,1104,0.63,42330,0,2
Naz,Nazareth College,3.5,0.969125214,2159,62356,0.58,1150,0.72,32424,0,0
Springfield,Springfield College,3.2,0.965065502,2110,61331,0.63,1042,0.66,36535,0,2
LVC,Lebanon Valley College,3.7,0.965811966,1712,61011,0.72,1160,0.76,42180,0,2
SBU,St. Bonaventure University,3.4,0.94109589,1660,59120.5,0.53,1066,0.66,33301,0,1
Gannon,Gannon University,3.6,0.925233645,3098,57358.5,0.47,1035,0.78,30932,0,1
Rider,Rider University,3.3,0.951838426,4060,57288.5,0.58,1014,0.69,41310,0,2
Marist,Marist College,3.3,0.957435897,5616,56500,0.75,1255,0.41,36780,0,2
Salve,Salve Regina University,3.3,0.976766699,2124,55478.5,0.64,1180,0.68,38986,0,2
