,FIPS,Lat,Long_,Confirmed,Deaths,Active,Combined_Key,Population
1850,38031,47.4571084,-98.88279923,1,0,1,"Foster, ND",3210
1851,5047,35.51202821,-93.89299569,1,0,1,"Franklin, AR",17715
1852,12037,29.83791238,-84.82731662,2,0,2,"Franklin, FL",12125
1853,12039,30.57796289,-84.61915825,40,0,40,"Gadsden, FL",45660
1854,42057,39.92913544,-78.11163677,2,0,2,"Fulton, PA",14530
1855,39051,41.60213491,-84.12571393,8,0,8,"Fulton, OH",42126
1856,36035,43.11363907,-74.41798804,24,0,24,"Fulton, NY",53383
1857,18049,41.0469907,-86.26252745,3,0,3,"Fulton, IN",19974
1858,17057,40.47289135,-90.20862357,1,0,1,"Fulton, IL",34340
1859,48163,28.86751206,-99.10804207,1,0,1,"Frio, TX",20306
1860,56013,43.04183996,-108.6296893,42,0,42,"Fremont, WY",39261
1861,16043,44.22800938,-111.4809943,2,0,2,"Fremont, ID",13099
1862,8043,38.47362326,-105.4399667,8,0,8,"Fremont, CO",47839
1863,48161,31.70422788,-96.15072516,1,0,1,"Freestone, TX",19717
1864,27047,43.67385583,-93.34884422,27,0,27,"Freeborn, MN",30281
1865,51630,38.2977863,-77.4922454,15,0,15,"Fredericksburg, VA",29036
1866,51069,39.20172582,-78.25974949,73,0,73,"Frederick, VA",89313
1867,51620,36.6831435,-76.93859681,7,0,7,"Franklin City, VA",7967
1868,51067,36.99536167,-79.88023649,15,0,15,"Franklin, VA",56042
1869,48159,33.17653242,-95.21917243,1,0,1,"Franklin, TX",10725
1870,42055,39.92956518,-77.72157791,78,0,78,"Franklin, PA",155027
1871,36033,44.59040891,-74.29926032,13,0,13,"Franklin, NY",50022
1872,31061,40.17636348,-98.95299073,3,0,3,"Franklin, NE",2979
1873,28037,31.47786634,-90.89672989,10,0,10,"Franklin, MS",7713
1874,23007,44.97330019,-70.44381045,9,0,9,"Franklin, ME",30199
1875,21073,38.2379395,-84.87962551,11,0,11,"Franklin, KY",50991
1876,20059,38.56443815,-95.28644341,12,0,12,"Franklin, KS",25544
1877,19069,42.73270384,-93.26256925,1,0,1,"Franklin, IA",10070
1878,17055,37.99189086,-88.92567818,4,0,4,"Franklin, IL",38469
1879,13119,34.37525597,-83.23159927,7,0,7,"Franklin, GA",23349
1880,51057,37.93357639,-76.94230311,0,0,0,"Essex, VA",10953
1881,36031,44.11630765,-73.77297842,12,0,12,"Essex, NY",36885
1882,48117,34.96522957,-102.6054267,11,0,11,"Deaf Smith, TX",18546
1883,51051,37.12560977,-82.35124171,0,0,0,"Dickenson, VA",14318
1884,48129,34.96517499,-100.8140093,22,0,22,"Donley, TX",3278
1885,20043,39.79067154,-95.14056866,1,0,1,"Doniphan, KS",7600
1886,31053,41.58071748,-96.65598179,12,0,12,"Dodge, NE",36565
1887,27039,44.02238415,-92.86244324,16,0,16,"Dodge, MN",20934
1888,13091,32.17265114,-83.16948926,17,0,17,"Dodge, GA",20605
1889,12029,29.60631086,-83.15724673,3,0,3,"Dixie, FL",16826
1890,38023,48.814938700000006,-103.4873611,1,0,1,"Divide, ND",2264
1891,51053,37.07544585,-77.63451754,7,0,7,"Dinwiddie, VA",28544
1892,48127,28.42270064,-99.75645095,1,0,1,"Dimmit, TX",10124
1893,45033,34.39007791,-79.37741872,7,0,7,"Dillon, SC",30479
1894,47043,36.14669837,-87.35891709,33,0,33,"Dickson, TN",53948
1895,20041,38.86600962,-97.15532383,1,0,1,"Dickinson, KS",18466
1896,19059,43.37787725,-95.1510206,1,0,1,"Dickinson, IA",17258
1897,48125,33.61616822,-100.7788855,1,0,1,"Dickens, TX",2211
1898,1053,31.1256789,-87.15918694,9,0,9,"Escambia, AL",36633
1899,40043,35.98772922,-99.00730714,2,0,2,"Dewey, OK",4891
1900,46039,44.75994309,-96.66943645,1,0,1,"Deuel, SD",4351
1901,5041,33.83011025,-91.25500948,6,0,6,"Desha, AR",11361
1902,41017,43.91570171,-121.2289121,55,0,55,"Deschutes, OR",197692
1903,19057,40.92012606,-91.18326592,7,0,7,"Des Moines, IA",38967
1904,48119,33.38570922,-95.66921122,1,0,1,"Delta, TX",5331
1905,40041,36.40823634,-94.80325046,72,0,72,"Delaware, OK",43009
1906,19055,42.47104597,-91.3664492,2,0,2,"Delaware, IA",17011
1907,6015,41.74228275,-123.8974063,2,0,2,"Del Norte, CA",27812
1908,39039,41.32398837,-84.49076944,12,0,12,"Defiance, OH",38087
1909,30023,46.05953325,-113.073353,3,0,3,"Deer Lodge, MT",9140
1910,47039,35.60048904,-88.11043779,3,0,3,"Decatur, TN",11663
1911,13087,30.87967778,-84.57619536,47,0,47,"Decatur, GA",26404
1912,17041,39.76768052,-88.21854195,11,0,11,"Douglas, IL",19465
1913,20045,38.88503636,-95.2925121,41,0,41,"Douglas, KS",122259
1914,27041,45.93348491,-95.45335469,1,0,1,"Douglas, MN",38141
1915,32005,38.912862,-119.6171333,13,0,13,"Douglas, NV",48905
1916,42049,41.99253829,-80.03301954,42,0,42,"Erie, PA",269728
1917,51595,36.69455571,-77.53406129,7,0,7,"Emporia, VA",5346
1918,49015,38.99617072,-110.7013958,3,0,3,"Emery, UT",10012
1919,13107,32.59221302,-82.30239915,9,0,9,"Emanuel, GA",22646
1920,16039,43.3507101,-115.4701578,18,0,18,"Elmore, ID",27511
1921,1051,32.59785413,-86.14415284,47,0,47,"Elmore, AL",81209
1922,20051,38.91458712,-99.31751551,4,0,4,"Ellis, KS",28553
1923,42047,41.42822061,-78.64524744,2,0,2,"Elk, PA",29910
1924,13105,34.11302332,-82.83936148,7,0,7,"Elbert, GA",19194
1925,6017,38.77965956,-120.5233166,35,0,35,"El Dorado, CA",192843
1926,21061,37.21218923,-86.23955613,7,0,7,"Edmonson, KY",12150
1927,45037,33.77221995,-81.96231108,10,0,10,"Edgefield, SC",27260
1928,38027,47.71701474,-98.90432337,1,0,1,"Eddy, ND",2287
1929,13101,30.71101099,-82.89687287,3,0,3,"Echols, GA",4006
1930,55035,44.726614,-91.28609183,21,0,21,"Eau Claire, WI",104646
1931,48133,32.32743996,-98.83243566,3,0,3,"Eastland, TX",18360
1932,22035,32.73926954,-91.23425694,1,0,1,"East Carroll, LA",6861
1933,47045,36.05931946,-89.41542855,22,0,22,"Dyer, TN",37159
1934,48131,27.68184592,-98.50864568,1,0,1,"Duval, TX",11157
1935,37061,34.93449805,-77.93140529,23,0,23,"Duplin, NC",58741
1936,55033,44.94562799,-91.8962481,9,0,9,"Dunn, WI",45368
1937,38025,47.35423935,-102.6160468,3,0,3,"Dunn, ND",4424
1938,29069,36.27167174,-90.09122243,17,0,17,"Dunklin, MO",29131
1939,49013,40.29772254,-110.425237,3,0,3,"Duchesne, UT",19938
1940,18037,38.36597551,-86.87924170000002,14,0,14,"Dubois, IN",42736
1941,55031,46.43222285,-91.91595768,7,0,7,"Douglas, WI",43150
1942,41019,43.27941273,-123.167291,20,0,20,"Douglas, OR",110980
1943,37041,36.12908077,-76.60118385,5,0,5,"Chowan, NC",13943
1944,1023,32.02227341,-88.26564429999998,12,0,12,"Choctaw, AL",12589
1945,48337,33.67521893,-97.72500958,5,0,5,"Montague, TX",19818
1946,5005,36.28784385,-92.33782872,4,0,4,"Baxter, AR",41932
1947,18007,40.60626947,-87.31093999,3,0,3,"Benton, IN",8748
1948,5007,36.33644656,-94.25680817,62,0,62,"Benton, AR",279141
1949,13017,31.76095874,-83.22145359,10,0,10,"Ben Hill, GA",16700
1950,27007,47.97373527,-94.93732139,5,0,5,"Beltrami, MN",47188
1951,33001,43.51637314,-71.41684235,24,0,24,"Belknap, NH",61303
1952,48025,28.41761668,-97.74215593,3,0,3,"Bee, TX",32565
1953,51019,37.3080028,-79.5281964,16,0,16,"Bedford, VA",78997
1954,40009,35.26862449,-99.68128023,2,0,2,"Beckham, OK",21859
1955,27005,46.93479392,-95.67158144,1,0,1,"Becker, MN",34423
1956,30001,45.13434354,-112.8984694,1,0,1,"Beaverhead, MT",9453
1957,40007,36.7496847,-100.4758872,1,0,1,"Beaver, OK",5311
1958,37013,35.48531943,-76.84325809,14,0,14,"Beaufort, NC",46994
1959,55007,46.52868768,-91.19716729,3,0,3,"Bayfield, WI",15036
1960,51017,38.05852573,-79.73912095,0,0,0,"Bath, VA",4147
1961,21007,37.05842757,-88.99427697,2,0,2,"Ballard, KY",7888
1962,21011,38.14735938,-83.74588932,3,0,3,"Bath, KY",12500
1963,20009,38.47889676,-98.75636726,5,0,5,"Barton, KS",25779
1964,29009,36.70978521,-93.82919888,2,0,2,"Barry, MO",35789
1965,55005,45.42372701,-91.84833627,6,0,6,"Barron, WI",45244
1966,21009,36.96469836,-85.93338945,5,0,5,"Barren, KY",44249
1967,45011,33.26679302,-81.43584352,5,0,5,"Barnwell, SC",20866
1968,38003,46.93579637,-98.06605978,2,0,2,"Barnes, ND",10415
1969,54001,39.1307219,-80.00350858,4,0,4,"Barbour, WV",16441
1970,1005,31.868263,-85.3871286,12,0,12,"Barbour, AL",24686
1971,20007,37.2288586,-98.68460053,1,0,1,"Barber, KS",4427
1972,16005,42.67002716,-112.2233311,5,0,5,"Bannock, ID",87808
1973,13011,34.35607081,-83.49644388,8,0,8,"Banks, GA",19234
1974,48019,29.74619598,-99.24598147,2,0,2,"Bandera, TX",23112
1975,27009,45.69804958,-93.99514135,1,0,1,"Benton, MN",40889
1976,28009,34.81681228,-89.18945516,5,0,5,"Benton, MS",8259
1977,29015,38.29503305,-93.28756116,3,0,3,"Benton, MO",19443
1978,47005,36.07110411,-88.06849355,4,0,4,"Benton, TN",16160
1979,48035,31.89978581,-97.63613524,1,0,1,"Bosque, TX",18685
1980,54005,38.01974191,-81.69888019,1,0,1,"Boone, WV",21457
1981,19015,42.03657094,-93.9313999,4,0,4,"Boone, IA",26234
1982,5009,36.3084504,-93.09374925,3,0,3,"Boone, AR",37432
1983,16019,43.38713372,-111.6161537,16,0,16,"Bonneville, ID",119062
1984,16017,48.29996017,-116.6017932,4,0,4,"Bonner, ID",45739
1985,17005,38.88829622,-89.43534887,4,0,4,"Bond, IL",16426
1986,46009,42.98914167,-97.88592746,4,0,4,"Bon Homme, SD",6901
1987,29017,37.32449052,-90.02725304,3,0,3,"Bollinger, MO",12133
1988,27013,44.03554215,-94.06699781,23,0,23,"Blue Earth, MN",67653
1989,1009,33.98210918,-86.56790593,17,0,17,"Blount, AL",57826
1990,47007,35.59942968,-85.20611967,8,0,8,"Bledsoe, TN",15064
1991,13023,32.43829035,-83.33035166,3,0,3,"Bleckley, GA",12873
1992,51021,37.13128068,-81.13599391,0,0,0,"Bland, VA",6280
1993,48031,30.26640707,-98.3999852,4,0,4,"Blanco, TX",11931
1994,42013,40.47961444,-78.34917412,12,0,12,"Blair, PA",121829
1995,37017,34.61296243,-78.56180059,2,0,2,"Bladen, NC",32722
1996,19013,42.4704581,-92.30524729,85,0,85,"Black Hawk, IA",131228
1997,16011,43.21672879999999,-112.3978437,2,0,2,"Bingham, ID",46811
1998,27011,45.42712824,-96.41403739,1,0,1,"Big Stone, MN",4991
1999,56003,44.52405055,-107.9960365,1,0,1,"Big Horn, WY",11790
2000,30003,45.42335905,-107.492347,2,0,2,"Big Horn, MT",13319
2001,1007,32.99642064,-87.12511459999996,18,0,18,"Bibb, AL",22394
2002,2050,60.90980451,-159.8561831,1,0,1,"Bethel, AK",18386
2003,13019,31.27590016,-83.22529920000002,8,0,8,"Berrien, GA",19397
